"1","Ord Canfre",52.3857,8.7397
"2","Deminol",51.6997,8.0611
"3","Jodaka",51.9852,8.2048
"4","Lomabu III",52.1316,8.2734
"5","Makem Liva",51.9818,8.5089
"6","Sirpar",52.4837,8.8684
"7","Fiddanl",52.3158,8.776
"8","Ord Mirit",52.0004,8.8349
"9","Atrivis",51.8387,8.4273
"10","Mon Gazza",51.7995,8.0911
"11","Trinta",52.3179,7.8582
"12","Ord Sigatt",52.2139,8.174
"13","Zygia",52.6246,8.2635
"14","Gaulus",51.8815,8.3834
"15","Kessel",52.1627,8.9725
"16","Weerden",52.1827,7.9646
"17","Stentat",52.2122,8.5601
"18","Corann",51.6315,8.1376
"19","Watebo",51.9957,7.939
"20","Demar",51.8783,8.3497
"21","New Agamar",51.5681,8.554
"22","Gauther",52.087,8.2017
"23","Pelutt",52.1642,8.7501
"24","Vaal",51.6937,8.7119
"25","Ganash",52.5812,8.1709
"26","Seftek",52.3628,9.0098
"27","Urkupp",52.4835,8.4395
"28","Antipose XII",51.8827,8.0554
"29","Mrykos",51.6964,8.4447
"30","Herdessa",52.2783,8.3911
"31","Ramodi",51.8867,8.7209
"32","Crakull",52.0693,7.9742
"33","Ennth",52.2416,8.0362
"34","Daluba",51.9833,8.2963
"35","Circarpous II",52.4416,8.9529
"36","Lununmo",51.8376,8.325
"37","Neftali",51.695,8.1498
"38","Tresidiss",52.4768,7.9439
"39","Chamble",52.4677,8.6958
"40","Kobbahn",52.349,8.0207
"41","Letev",52.625,8.3982
"42","Choi",52.2444,8.8134
"43","Khar Delba",51.5602,8.6644
"44","Avirandel",52.5356,8.5432
"45","Leria Kerlsil",52.0336,8.711
"46","Th'irus",51.857,8.2216
"47","Thesme",51.6866,8.2484
"48","Agora",51.6605,8.7912
"49","Archae Teuthis",51.5728,8.2228
"50","Ralme IV",52.3049,8.6975
"51","Galdar",52.5844,8.7505
"52","Tormin",51.9193,8.9832
"53","Zaraksander",52.4022,8.0451
"54","Antemeridias",51.7597,8.8723
"55","Namore",51.7883,8.9597
"56","Doldur",52.3672,8.0974
"57","Formos",51.9844,8.1581
"58","Pitann",51.9922,8.1312
"59","Bresan",52.2027,8.1057
"60","Tragrud",51.9505,8.7858
"61","Novor XXXIII",51.9414,8.2633
"62","Reena",52.2482,8.31
"63","Letev",52.4042,7.9137
"64","Wyloff",52.1463,8.4848
"65","Circarpous XII",51.9207,8.526
"66","Crystan V",52.2842,7.9583
"67","Muscave",52.0152,8.6839
"68","Greater Marianas",52.6393,8.6932
"69","Jaemus",52.2398,7.9463
"70","Fendry",52.4168,8.7155
"71","Kasiol 3",52.1275,8.299
"72","Aquaris",51.7298,8.4815
"73","Bimmisaari",52.2327,8.3507
"74","Argazda",52.1366,8.7956
"75","Alc",52.3122,8.2133
"76","Pirol-5",52.119,8.5393
"77","Duunir",52.257,8.1118
"78","Brevost",52.719,8.2462
"79","Ord Namurt",52.4609,7.8257
"80","Rehemsa",52.3484,8.9498
"81","Yanibar",52.08,7.8611
"82","Arbran IV",51.5576,8.495
"83","Desstious",51.9678,8.9191
"84","Pelemax",51.5896,8.6025
"85","Alurion",52.0678,8.4475
"86","Armath",51.9344,8.8102
"87","Aram",52.6916,8.4094
"88","Circarpous VI",51.8185,8.8849
"89","Nothoiin",52.15,8.1694
"90","Bettok",52.5684,8.522
"91","Tallek",51.8298,8.1281
"92","Chaila",52.0845,8.7576
"93","Valgauth",51.7367,8.6318
"94","Budpock",51.8715,8.5114
"95","Harix",52.7267,8.5533
"96","Thorsgild",52.5317,8.0371
"97","Ahakista",51.774,8.4626
"98","Venzeiia 2 Prime",52.3697,8.6581
"99","Liinade III",52.4008,8.3854
"100","Ansillivog",51.9943,8.5994
"101","Xoman Three",51.9356,8.4355
"102","Vinsoth",52.5096,8.4728
"103","Betal",51.6364,8.6052
"104","Majilop",51.6156,8.5627
"105","Dreizan",52.1511,7.7767
"106","Abbaji",51.8474,8.0159
"107","Nilash III",51.4689,8.5356
"108","Port Evokk",52.495,8.5814
"109","Syned",52.5631,8.0045
"110","Sembla",51.9802,7.9712
"111","Annaj",51.7388,7.9101
"112","Aduba-6",51.8046,8.5895
"113","Florn",51.89,7.953
"114","Sarrelon VI",52.0628,7.8482
"115","Thorsgild",52.4046,8.4158
"116","Corroth",52.2327,8.4397
"117","Jilrua",52.74,8.3343
"118","M4-78",51.612,8.0606
"119","Kelliadu",52.5015,8.1005
"120","Jashwa",51.9951,8.1696
"121","Salliche",52.2222,8.2465
"122","Genassa",52.0553,8.0399
"123","Vorusku",52.4155,8.6066
"124","Kestos Minor",52.3981,8.1314
"125","Medepiest",52.6221,8.62
"126","Kur Minor",52.6197,8.3263
"127","Vaathkree",52.3268,8.3121
"128","Sump",52.1226,7.8216
"129","Glova",52.2663,8.948
"130","Vaal",52.2232,8.8777
"131","Gerrenthum",51.567,8.4436
"132","Pizkoss",52.461,8.7564
"133","M4-78",52.5462,8.3125
"134","Skynara",52.1926,8.812
"135","Trasse",51.6423,8.8324
"136","Kendamar",51.673,8.3486
"137","Faargau",52.363,8.4459
"138","M'buh",52.3826,7.8747
"139","Keskin",51.718,8.8277
"140","Lorimax",52.1914,8.5948
"141","Triffis",52.5088,8.2694
"142","Faldos",52.5478,7.8995
"143","Rordak",51.8609,7.9127
"144","Tarsa",52.0669,8.6443
"145","Seylott",51.9313,8.3668
"146","Eliad",51.8871,8.1966
"147","Drup II",51.8047,8.6103
"148","Arbra",51.5476,8.2899
"149","Gerrard V",51.7568,8.1519
"150","Qoribu",51.834,8.595
"151","Trammis III",51.5037,8.4578
"152","Bala",51.8666,7.8164
"153","Alderaan",51.6758,8.6598
"154","Nista",52.1152,8.9298
"155","Kip",52.0407,7.9378
"156","Zuggit",52.4309,8.5617
"157","Meris I",51.8132,8.2557
"158","Herstell V",52.4912,8.2646
"159","Vo",52.2361,8.4263
"160","Ongella",52.3643,8.4675
"161","Lekua V",52.2433,8.4975
"162","Aphran IV",52.0897,8.3424
"163","Rafa III",52.2452,8.5781
"164","Sarina",52.5108,8.6306
"165","Tralus",51.9475,8.5356
"166","Yerphonia",52.318,8.1092
"167","Kimanan",52.1135,8.7537
"168","Toprawa",51.5744,8.4166
"169","Polus",52.1768,8.8654
"170","Bendone",51.7349,8.0695
"171","Enferm",51.731,8.2744
"172","Lorardian",52.2352,8.6659
"173","Yoribuunt",51.9311,8.8499
"174","Aquaris",52.2139,8.3803
